"o/f         ","t           ","isp         "
   4.20000E+00,   3.07323E+03,   0.00000E+00
   4.20000E+00,   2.88870E+03,   1.03727E+03
   4.20000E+00,   1.97308E+03,   2.23995E+03
   4.30000E+00,   3.08095E+03,   0.00000E+00
   4.30000E+00,   2.90026E+03,   1.03528E+03
   4.30000E+00,   2.00748E+03,   2.24300E+03
   4.40000E+00,   3.08689E+03,   0.00000E+00
   4.40000E+00,   2.90929E+03,   1.03331E+03
   4.40000E+00,   2.04141E+03,   2.24525E+03
   4.50000E+00,   3.09130E+03,   0.00000E+00
   4.50000E+00,   2.91610E+03,   1.03136E+03
   4.50000E+00,   2.07466E+03,   2.24670E+03
   4.60000E+00,   3.09438E+03,   0.00000E+00
   4.60000E+00,   2.92103E+03,   1.02943E+03
   4.60000E+00,   2.10685E+03,   2.24732E+03
   4.70000E+00,   3.09632E+03,   0.00000E+00
   4.70000E+00,   2.92433E+03,   1.02756E+03
   4.70000E+00,   2.13717E+03,   2.24709E+03
